
Country,Country Code,Region,Region Code,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,LA CO2 Sector,LA CO2 Sub-sector,Territorial emissions (kt CO2),Emissions within the scope of influence of LAs (kt CO2),Mid-year Population (thousands),Area (km2)
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Commercial,Commercial Electricity,131.7949824,131.7949824,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Commercial,Commercial Gas,62.14888974,62.14888974,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Commercial,Commercial 'Other Fuels',0.62194923,0.62194923,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Domestic,Domestic Electricity,261.3706308,261.3706308,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Domestic,Domestic Gas,393.2835849,393.2835849,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Domestic,Domestic 'Other Fuels',17.50667552,17.50667552,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Industry,Industry Electricity,174.3424197,174.3424197,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Industry,Industry Gas,44.30798702,44.30798702,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Industry,Large Industrial Installations,12.21992936,4.977959289,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Industry,Industry 'Other Fuels',77.08753502,77.08753502,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Industry,Agriculture,1.87104328,1.626364807,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,LULUCF,LULUCF Net Emissions: Forest land,-5.729470194,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,LULUCF,LULUCF Net Emissions: Cropland,3.302393555,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,LULUCF,LULUCF Net Emissions: Grassland,0.223331391,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,LULUCF,LULUCF Net Emissions: Settlements,3.654963381,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Public Sector,Public Sector Electricity,29.31467961,29.31467961,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Public Sector,Public Sector Gas,37.88403703,37.88403703,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Public Sector,Public Sector 'Other Fuels',0.253378189,0.253378189,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Transport,Road Transport (A roads),197.8727063,197.8727063,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Transport,Road Transport (Motorways),190.7914026,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Transport,Road Transport (Minor roads),203.6557346,203.6557346,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Transport,Diesel Railways,5.745533485,0,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2005,Transport,Transport Other,3.440705837,3.440705837,265.016,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Commercial,Commercial Electricity,141.2897605,141.2897605,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Commercial,Commercial Gas,56.21677524,56.21677524,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Commercial,Commercial 'Other Fuels',0.481334594,0.481334594,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Domestic,Domestic Electricity,273.0755881,273.0755881,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Domestic,Domestic Gas,378.5069308,378.5069308,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Domestic,Domestic 'Other Fuels',15.57352004,15.57352004,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Industry,Industry Electricity,186.9024015,186.9024015,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Industry,Industry Gas,40.07878753,40.07878753,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Industry,Large Industrial Installations,13.65760544,4.715510827,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Industry,Industry 'Other Fuels',75.23847865,75.23847865,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Industry,Agriculture,1.799898303,1.550399432,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Forest land,-5.861428156,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Cropland,3.304063824,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Grassland,-0.035152837,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Settlements,3.513941945,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector Electricity,31.42656864,31.42656864,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector Gas,34.26800388,34.26800388,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector 'Other Fuels',0.162622802,0.162622802,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (A roads),191.257289,191.257289,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (Motorways),190.3746809,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (Minor roads),194.3490712,194.3490712,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Diesel Railways,5.673842796,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Transport Other,3.468116998,3.468116998,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial Electricity,132.9204542,132.9204542,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial Gas,52.06546854,52.06546854,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial 'Other Fuels',0.450699301,0.450699301,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic Electricity,273.7436718,273.7436718,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic Gas,358.9743148,358.9743148,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic 'Other Fuels',14.73431306,14.73431306,268.319,139.7923
